Wait Time,Nationality,Outcome,Period in which decisions made,Count
Under 6 months,Egypt,Grant,2012 Q4,9
Under 6 months,Eritrea,Grant,2012 Q4,159
Under 6 months,Ethiopia,Grant,2012 Q4,12
Under 6 months,"Gambia, The",Grant,2012 Q4,25
Under 6 months,Georgia,Grant,2012 Q4,1
Under 6 months,Ghana,Grant,2012 Q4,4
Under 6 months,Grenada,Grant,2012 Q4,1
Under 6 months,Guinea,Grant,2012 Q4,3
Under 6 months,Guyana,Grant,2012 Q4,2
Under 6 months,India,Grant,2012 Q4,3
Under 6 months,Iran,Grant,2012 Q4,277
Under 6 months,Iraq,Grant,2012 Q4,5
Under 6 months,Ivory Coast,Grant,2012 Q4,3
Under 6 months,Jamaica,Grant,2012 Q4,2
Under 6 months,Jordan,Grant,2012 Q4,1
Under 6 months,Kenya,Grant,2012 Q4,2
Under 6 months,Korea (North),Grant,2012 Q4,4
Under 6 months,Kuwait,Grant,2012 Q4,4
Under 6 months,Lebanon,Grant,2012 Q4,3
Under 6 months,Libya,Grant,2012 Q4,13
Under 6 months,Macedonia,Grant,2012 Q4,1
Under 6 months,Malawi,Grant,2012 Q4,1
Under 6 months,Malaysia,Grant,2012 Q4,3
Under 6 months,Morocco,Grant,2012 Q4,3
Under 6 months,Mozambique,Grant,2012 Q4,1
Under 6 months,Nigeria,Grant,2012 Q4,14
Under 6 months,Occupied Palestinian Territories,Grant,2012 Q4,7
Under 6 months,Pakistan,Grant,2012 Q4,109
Under 6 months,Refugee,Grant,2012 Q4,13
Under 6 months,Russia,Grant,2012 Q4,7
Under 6 months,Saudi Arabia,Grant,2012 Q4,1
Under 6 months,Senegal,Grant,2012 Q4,3
Under 6 months,Sierra Leone,Grant,2012 Q4,3
Under 6 months,Somalia,Grant,2012 Q4,60
Under 6 months,South Africa,Grant,2012 Q4,2
Under 6 months,Sri Lanka,Grant,2012 Q4,59
Under 6 months,Stateless,Grant,2012 Q4,19
Under 6 months,Sudan,Grant,2012 Q4,117
Under 6 months,Swaziland,Grant,2012 Q4,1
Under 6 months,Syria,Grant,2012 Q4,248
Under 6 months,Thailand,Grant,2012 Q4,1
Under 6 months,Trinidad and Tobago,Grant,2012 Q4,1
Under 6 months,Turkey,Grant,2012 Q4,1
Under 6 months,Uganda,Grant,2012 Q4,26
Under 6 months,Ukraine,Grant,2012 Q4,2
Under 6 months,Uzbekistan,Grant,2012 Q4,1
Under 6 months,Venezuela,Grant,2012 Q4,1
Under 6 months,Vietnam,Grant,2012 Q4,2
Under 6 months,Western Sahara,Grant,2012 Q4,1
Under 6 months,Zimbabwe,Grant,2012 Q4,34
Under 6 months,Afghanistan,Grant,2013 Q1,53
Under 6 months,Albania,Grant,2013 Q1,62
Under 6 months,Algeria,Grant,2013 Q1,5
Under 6 months,Angola,Grant,2013 Q1,1
Under 6 months,Bahrain,Grant,2013 Q1,4
Under 6 months,Bangladesh,Grant,2013 Q1,7
Under 6 months,Belarus,Grant,2013 Q1,7
Under 6 months,Bhutan,Grant,2013 Q1,2
Under 6 months,Bolivia,Grant,2013 Q1,1
Under 6 months,Brazil,Grant,2013 Q1,4
Under 6 months,Burkina,Grant,2013 Q1,1
Under 6 months,Burma,Grant,2013 Q1,6
Under 6 months,Burundi,Grant,2013 Q1,1
Under 6 months,Cameroon,Grant,2013 Q1,14
Under 6 months,China,Grant,2013 Q1,14
Under 6 months,Congo,Grant,2013 Q1,2
Under 6 months,Congo (Democratic Republic),Grant,2013 Q1,17
Under 6 months,Egypt,Grant,2013 Q1,4
Under 6 months,Eritrea,Grant,2013 Q1,158
Under 6 months,Ethiopia,Grant,2013 Q1,14
Under 6 months,"Gambia, The",Grant,2013 Q1,12
Under 6 months,Ghana,Grant,2013 Q1,4
Under 6 months,Guinea,Grant,2013 Q1,3
Under 6 months,India,Grant,2013 Q1,3
Under 6 months,Indonesia,Grant,2013 Q1,1
Under 6 months,Iran,Grant,2013 Q1,332
Under 6 months,Iraq,Grant,2013 Q1,13
Under 6 months,Ivory Coast,Grant,2013 Q1,6
Under 6 months,Jamaica,Grant,2013 Q1,3
Under 6 months,Kazakhstan,Grant,2013 Q1,1
Under 6 months,Kuwait,Grant,2013 Q1,4
Under 6 months,Lebanon,Grant,2013 Q1,1
Under 6 months,Libya,Grant,2013 Q1,20
Under 6 months,Malawi,Grant,2013 Q1,3
Under 6 months,Malaysia,Grant,2013 Q1,1
Under 6 months,Mali,Grant,2013 Q1,1
Under 6 months,Morocco,Grant,2013 Q1,4
Under 6 months,Nepal,Grant,2013 Q1,1
Under 6 months,Nigeria,Grant,2013 Q1,16
Under 6 months,Occupied Palestinian Territories,Grant,2013 Q1,4
Under 6 months,Pakistan,Grant,2013 Q1,158
Under 6 months,Refugee,Grant,2013 Q1,46
Under 6 months,Russia,Grant,2013 Q1,4
Under 6 months,Rwanda,Grant,2013 Q1,1
Under 6 months,Saudi Arabia,Grant,2013 Q1,3
Under 6 months,Senegal,Grant,2013 Q1,5
Under 6 months,Sierra Leone,Grant,2013 Q1,7
Under 6 months,Somalia,Grant,2013 Q1,82
Under 6 months,Sri Lanka,Grant,2013 Q1,68
Under 6 months,Stateless,Grant,2013 Q1,3
Under 6 months,Sudan,Grant,2013 Q1,116
Under 6 months,Syria,Grant,2013 Q1,291
Under 6 months,Trinidad and Tobago,Grant,2013 Q1,1
Under 6 months,Turkey,Grant,2013 Q1,7
Under 6 months,Uganda,Grant,2013 Q1,25
Under 6 months,Ukraine,Grant,2013 Q1,1
Under 6 months,Uzbekistan,Grant,2013 Q1,1
Under 6 months,Vietnam,Grant,2013 Q1,5
Under 6 months,Yemen,Grant,2013 Q1,4
Under 6 months,Zambia,Grant,2013 Q1,1
Under 6 months,Zimbabwe,Grant,2013 Q1,34
Under 6 months,Afghanistan,Grant,2013 Q2,46
Under 6 months,Albania,Grant,2013 Q2,69
Under 6 months,Algeria,Grant,2013 Q2,4
Under 6 months,Angola,Grant,2013 Q2,1
Under 6 months,Armenia,Grant,2013 Q2,2
Under 6 months,Azerbaijan,Grant,2013 Q2,1
Under 6 months,Bahrain,Grant,2013 Q2,2
Under 6 months,Bangladesh,Grant,2013 Q2,6
Under 6 months,Belarus,Grant,2013 Q2,2
Under 6 months,Burma,Grant,2013 Q2,5
Under 6 months,Burundi,Grant,2013 Q2,1
Under 6 months,Cameroon,Grant,2013 Q2,2
Under 6 months,China,Grant,2013 Q2,7
Under 6 months,Colombia,Grant,2013 Q2,1
Under 6 months,Congo (Democratic Republic),Grant,2013 Q2,16
Under 6 months,Egypt,Grant,2013 Q2,13
Under 6 months,Eritrea,Grant,2013 Q2,158
Under 6 months,Ethiopia,Grant,2013 Q2,16
Under 6 months,"Gambia, The",Grant,2013 Q2,22
Under 6 months,Ghana,Grant,2013 Q2,4
Under 6 months,Guinea,Grant,2013 Q2,9
Under 6 months,Guyana,Grant,2013 Q2,2
Under 6 months,India,Grant,2013 Q2,1
Under 6 months,Iran,Grant,2013 Q2,275
Under 6 months,Iraq,Grant,2013 Q2,16
Under 6 months,Ivory Coast,Grant,2013 Q2,3
Under 6 months,Jamaica,Grant,2013 Q2,3
Under 6 months,Korea (North),Grant,2013 Q2,2
Under 6 months,Kuwait,Grant,2013 Q2,4
Under 6 months,Lebanon,Grant,2013 Q2,2
Under 6 months,Libya,Grant,2013 Q2,12
Under 6 months,Malawi,Grant,2013 Q2,4
Under 6 months,Malaysia,Grant,2013 Q2,2
Under 6 months,Mauritania,Grant,2013 Q2,1
Under 6 months,Mauritius,Grant,2013 Q2,2
Under 6 months,Morocco,Grant,2013 Q2,6
Under 6 months,Nigeria,Grant,2013 Q2,19
Under 6 months,Occupied Palestinian Territories,Grant,2013 Q2,5
Under 6 months,Pakistan,Grant,2013 Q2,114
Under 6 months,Philippines,Grant,2013 Q2,1
Under 6 months,Refugee,Grant,2013 Q2,46
Under 6 months,Russia,Grant,2013 Q2,5
Under 6 months,Rwanda,Grant,2013 Q2,2
Under 6 months,Senegal,Grant,2013 Q2,1
Under 6 months,Sierra Leone,Grant,2013 Q2,4
Under 6 months,Somalia,Grant,2013 Q2,47
Under 6 months,South Africa,Grant,2013 Q2,2
Under 6 months,Sri Lanka,Grant,2013 Q2,68
Under 6 months,Stateless,Grant,2013 Q2,6
Under 6 months,Sudan,Grant,2013 Q2,95
Under 6 months,Syria,Grant,2013 Q2,248
Under 6 months,Turkey,Grant,2013 Q2,3
Under 6 months,Uganda,Grant,2013 Q2,15
Under 6 months,Ukraine,Grant,2013 Q2,1
Under 6 months,Uzbekistan,Grant,2013 Q2,2
Under 6 months,Vietnam,Grant,2013 Q2,12
Under 6 months,Western Sahara,Grant,2013 Q2,2
Under 6 months,Yemen,Grant,2013 Q2,1
Under 6 months,Zimbabwe,Grant,2013 Q2,20
Under 6 months,Afghanistan,Grant,2013 Q3,38
Under 6 months,Albania,Grant,2013 Q3,54
Under 6 months,Angola,Grant,2013 Q3,1
Under 6 months,Bangladesh,Grant,2013 Q3,17
Under 6 months,Belarus,Grant,2013 Q3,2
Under 6 months,Burma,Grant,2013 Q3,3
Under 6 months,Cameroon,Grant,2013 Q3,6
Under 6 months,China,Grant,2013 Q3,10
Under 6 months,Congo (Democratic Republic),Grant,2013 Q3,3
Under 6 months,Egypt,Grant,2013 Q3,7
Under 6 months,Eritrea,Grant,2013 Q3,176
Under 6 months,Ethiopia,Grant,2013 Q3,6
Under 6 months,"Gambia, The",Grant,2013 Q3,10
Under 6 months,Ghana,Grant,2013 Q3,3
Under 6 months,Guinea,Grant,2013 Q3,3
Under 6 months,India,Grant,2013 Q3,2
Under 6 months,Iran,Grant,2013 Q3,159
Under 6 months,Iraq,Grant,2013 Q3,6
Under 6 months,Ivory Coast,Grant,2013 Q3,3
Under 6 months,Jamaica,Grant,2013 Q3,3
Under 6 months,Kenya,Grant,2013 Q3,1
Under 6 months,Korea (North),Grant,2013 Q3,2
Under 6 months,Kuwait,Grant,2013 Q3,7
Under 6 months,Lebanon,Grant,2013 Q3,3
Under 6 months,Libya,Grant,2013 Q3,9
Under 6 months,Malaysia,Grant,2013 Q3,3
Under 6 months,Mexico,Grant,2013 Q3,1
Under 6 months,Morocco,Grant,2013 Q3,1
Under 6 months,Nigeria,Grant,2013 Q3,18
Under 6 months,Occupied Palestinian Territories,Grant,2013 Q3,7
Under 6 months,Pakistan,Grant,2013 Q3,106
Under 6 months,Refugee,Grant,2013 Q3,26
Under 6 months,Rwanda,Grant,2013 Q3,1
Under 6 months,Saudi Arabia,Grant,2013 Q3,2
Under 6 months,Sierra Leone,Grant,2013 Q3,5
Under 6 months,Somalia,Grant,2013 Q3,31
Under 6 months,South Africa,Grant,2013 Q3,3
Under 6 months,Sri Lanka,Grant,2013 Q3,33
Under 6 months,Stateless,Grant,2013 Q3,2
Under 6 months,Sudan,Grant,2013 Q3,95
Under 6 months,Swaziland,Grant,2013 Q3,1
Under 6 months,Syria,Grant,2013 Q3,279
Under 6 months,Turkey,Grant,2013 Q3,5
Under 6 months,Uganda,Grant,2013 Q3,15
Under 6 months,Ukraine,Grant,2013 Q3,1
Under 6 months,Vietnam,Grant,2013 Q3,7
Under 6 months,Yemen,Grant,2013 Q3,2
Under 6 months,Zambia,Grant,2013 Q3,2
Under 6 months,Zimbabwe,Grant,2013 Q3,5
Under 6 months,Afghanistan,Grant,2013 Q4,37
Under 6 months,Albania,Grant,2013 Q4,37
Under 6 months,Algeria,Grant,2013 Q4,5
Under 6 months,Angola,Grant,2013 Q4,1
Under 6 months,Armenia,Grant,2013 Q4,1
Under 6 months,Azerbaijan,Grant,2013 Q4,2
Under 6 months,Bangladesh,Grant,2013 Q4,5
Under 6 months,Belarus,Grant,2013 Q4,1
Under 6 months,Burma,Grant,2013 Q4,2
Under 6 months,Cameroon,Grant,2013 Q4,5
Under 6 months,Central African Republic,Grant,2013 Q4,1
Under 6 months,China,Grant,2013 Q4,13
Under 6 months,Congo (Democratic Republic),Grant,2013 Q4,3
Under 6 months,Cuba,Grant,2013 Q4,1
Under 6 months,Egypt,Grant,2013 Q4,8
Under 6 months,Eritrea,Grant,2013 Q4,180
Under 6 months,Ethiopia,Grant,2013 Q4,6
Under 6 months,"Gambia, The",Grant,2013 Q4,8
Under 6 months,Ghana,Grant,2013 Q4,3
Under 6 months,Iran,Grant,2013 Q4,80
Under 6 months,Iraq,Grant,2013 Q4,7
Under 6 months,Ivory Coast,Grant,2013 Q4,1
Under 6 months,Jamaica,Grant,2013 Q4,3
Under 6 months,Korea (North),Grant,2013 Q4,1
Under 6 months,Korea (South),Grant,2013 Q4,1
Under 6 months,Kuwait,Grant,2013 Q4,5
Under 6 months,Libya,Grant,2013 Q4,4
Under 6 months,Malawi,Grant,2013 Q4,2
Under 6 months,Maldives,Grant,2013 Q4,1
Under 6 months,Mauritius,Grant,2013 Q4,1
Under 6 months,Morocco,Grant,2013 Q4,1
Under 6 months,Nigeria,Grant,2013 Q4,9
Under 6 months,Occupied Palestinian Territories,Grant,2013 Q4,6
Under 6 months,Other and unknown,Grant,2013 Q4,1
Under 6 months,Pakistan,Grant,2013 Q4,69
Under 6 months,Refugee,Grant,2013 Q4,17
Under 6 months,Russia,Grant,2013 Q4,3
Under 6 months,Saudi Arabia,Grant,2013 Q4,1
Under 6 months,Sierra Leone,Grant,2013 Q4,2
Under 6 months,Somalia,Grant,2013 Q4,19
Under 6 months,Sri Lanka,Grant,2013 Q4,12
Under 6 months,St. Vincent and the Grenadines,Grant,2013 Q4,1
Under 6 months,Stateless,Grant,2013 Q4,8
Under 6 months,Sudan,Grant,2013 Q4,65
Under 6 months,Swaziland,Grant,2013 Q4,1
Under 6 months,Syria,Grant,2013 Q4,224
Under 6 months,Tanzania,Grant,2013 Q4,2
Under 6 months,Tunisia,Grant,2013 Q4,1
Under 6 months,Turkey,Grant,2013 Q4,3
Under 6 months,Uganda,Grant,2013 Q4,8
Under 6 months,Uzbekistan,Grant,2013 Q4,1
Under 6 months,Vietnam,Grant,2013 Q4,13
Under 6 months,Yemen,Grant,2013 Q4,3
Under 6 months,Zambia,Grant,2013 Q4,1
Under 6 months,Zimbabwe,Grant,2013 Q4,8
Under 6 months,Afghanistan,Grant,2014 Q1,28
Under 6 months,Albania,Grant,2014 Q1,19
Under 6 months,Algeria,Grant,2014 Q1,3
Under 6 months,Armenia,Grant,2014 Q1,1
Under 6 months,Azerbaijan,Grant,2014 Q1,1
Under 6 months,Bahrain,Grant,2014 Q1,2
Under 6 months,Bangladesh,Grant,2014 Q1,8
Under 6 months,Belarus,Grant,2014 Q1,1
Under 6 months,Burma,Grant,2014 Q1,3
Under 6 months,Cameroon,Grant,2014 Q1,2
Under 6 months,China,Grant,2014 Q1,2
Under 6 months,Congo (Democratic Republic),Grant,2014 Q1,4
Under 6 months,Cuba,Grant,2014 Q1,1
Under 6 months,Egypt,Grant,2014 Q1,5
Under 6 months,Eritrea,Grant,2014 Q1,174
Under 6 months,Ethiopia,Grant,2014 Q1,2
Under 6 months,"Gambia, The",Grant,2014 Q1,10
Under 6 months,Ghana,Grant,2014 Q1,1
Under 6 months,Guyana,Grant,2014 Q1,1
Under 6 months,India,Grant,2014 Q1,1
Under 6 months,Iran,Grant,2014 Q1,72
Under 6 months,Iraq,Grant,2014 Q1,16
Under 6 months,Jamaica,Grant,2014 Q1,3
Under 6 months,Kazakhstan,Grant,2014 Q1,1
Under 6 months,Kenya,Grant,2014 Q1,1
Under 6 months,Kosovo,Grant,2014 Q1,1
Under 6 months,Lebanon,Grant,2014 Q1,2
Under 6 months,Libya,Grant,2014 Q1,5
Under 6 months,Malawi,Grant,2014 Q1,1
Under 6 months,Maldives,Grant,2014 Q1,1
Under 6 months,Morocco,Grant,2014 Q1,3
Under 6 months,Nigeria,Grant,2014 Q1,11
Under 6 months,Occupied Palestinian Territories,Grant,2014 Q1,2
Under 6 months,Pakistan,Grant,2014 Q1,49
Under 6 months,Refugee,Grant,2014 Q1,16
Under 6 months,Russia,Grant,2014 Q1,4
Under 6 months,Sierra Leone,Grant,2014 Q1,1
Under 6 months,Somalia,Grant,2014 Q1,9
Under 6 months,Sri Lanka,Grant,2014 Q1,9
Under 6 months,Sudan,Grant,2014 Q1,61
Under 6 months,Swaziland,Grant,2014 Q1,2
Under 6 months,Syria,Grant,2014 Q1,160
Under 6 months,Trinidad and Tobago,Grant,2014 Q1,1
Under 6 months,Tunisia,Grant,2014 Q1,1
Under 6 months,Uganda,Grant,2014 Q1,8
Under 6 months,Vietnam,Grant,2014 Q1,5
Under 6 months,Zambia,Grant,2014 Q1,2
Under 6 months,Zimbabwe,Grant,2014 Q1,1
Under 6 months,Afghanistan,Grant,2014 Q2,36
Under 6 months,Albania,Grant,2014 Q2,12
Under 6 months,Angola,Grant,2014 Q2,1
Under 6 months,Antigua and Barbuda,Grant,2014 Q2,1
Under 6 months,Bangladesh,Grant,2014 Q2,2
Under 6 months,Burma,Grant,2014 Q2,6
Under 6 months,Cameroon,Grant,2014 Q2,3
Under 6 months,Central African Republic,Grant,2014 Q2,1
Under 6 months,Chad,Grant,2014 Q2,1
Under 6 months,China,Grant,2014 Q2,6
Under 6 months,Congo (Democratic Republic),Grant,2014 Q2,2
Under 6 months,Egypt,Grant,2014 Q2,5
Under 6 months,Eritrea,Grant,2014 Q2,211
Under 6 months,Ethiopia,Grant,2014 Q2,3
Under 6 months,"Gambia, The",Grant,2014 Q2,8
Under 6 months,Ghana,Grant,2014 Q2,2
Under 6 months,Guinea,Grant,2014 Q2,1
Under 6 months,India,Grant,2014 Q2,1
Under 6 months,Iran,Grant,2014 Q2,83
Under 6 months,Iraq,Grant,2014 Q2,6
Under 6 months,Ivory Coast,Grant,2014 Q2,2
Under 6 months,Jamaica,Grant,2014 Q2,2
Under 6 months,Kenya,Grant,2014 Q2,2
Under 6 months,Korea (North),Grant,2014 Q2,1
Under 6 months,Kuwait,Grant,2014 Q2,2
Under 6 months,Liberia,Grant,2014 Q2,1
Under 6 months,Libya,Grant,2014 Q2,3
Under 6 months,Malawi,Grant,2014 Q2,1
Under 6 months,Malaysia,Grant,2014 Q2,5
Under 6 months,Mali,Grant,2014 Q2,1
Under 6 months,Morocco,Grant,2014 Q2,2
Under 6 months,Nigeria,Grant,2014 Q2,18
Under 6 months,Occupied Palestinian Territories,Grant,2014 Q2,2
Under 6 months,Pakistan,Grant,2014 Q2,73
Under 6 months,Refugee,Grant,2014 Q2,22
Under 6 months,Russia,Grant,2014 Q2,1
Under 6 months,Senegal,Grant,2014 Q2,1
Under 6 months,Somalia,Grant,2014 Q2,6
Under 6 months,Sri Lanka,Grant,2014 Q2,14
Under 6 months,Stateless,Grant,2014 Q2,5
Under 6 months,Sudan,Grant,2014 Q2,96
Under 6 months,Sudan (South),Grant,2014 Q2,1
Under 6 months,Swaziland,Grant,2014 Q2,2
Under 6 months,Syria,Grant,2014 Q2,198
Under 6 months,Turkey,Grant,2014 Q2,1
Under 6 months,Uganda,Grant,2014 Q2,17
Under 6 months,Vietnam,Grant,2014 Q2,6
Under 6 months,Yemen,Grant,2014 Q2,4
Under 6 months,Zambia,Grant,2014 Q2,1
Under 6 months,Zimbabwe,Grant,2014 Q2,3
Under 6 months,Afghanistan,Grant,2014 Q3,36
Under 6 months,Albania,Grant,2014 Q3,22
Under 6 months,Algeria,Grant,2014 Q3,2
Under 6 months,Angola,Grant,2014 Q3,1
Under 6 months,Bangladesh,Grant,2014 Q3,15
Under 6 months,Belarus,Grant,2014 Q3,6
Under 6 months,Burma,Grant,2014 Q3,6
Under 6 months,Cameroon,Grant,2014 Q3,4
Under 6 months,Central African Republic,Grant,2014 Q3,2
Under 6 months,Chad,Grant,2014 Q3,1
Under 6 months,China,Grant,2014 Q3,4
Under 6 months,Congo (Democratic Republic),Grant,2014 Q3,6
Under 6 months,Cuba,Grant,2014 Q3,1
Under 6 months,Egypt,Grant,2014 Q3,6
Under 6 months,Eritrea,Grant,2014 Q3,511
Under 6 months,Ethiopia,Grant,2014 Q3,8
Under 6 months,France,Grant,2014 Q3,1
Under 6 months,"Gambia, The",Grant,2014 Q3,12
Under 6 months,Ghana,Grant,2014 Q3,3
Under 6 months,Honduras,Grant,2014 Q3,1
Under 6 months,India,Grant,2014 Q3,2
Under 6 months,Iran,Grant,2014 Q3,120
Under 6 months,Iraq,Grant,2014 Q3,12
Under 6 months,Ivory Coast,Grant,2014 Q3,1
Under 6 months,Jamaica,Grant,2014 Q3,2
Under 6 months,Kenya,Grant,2014 Q3,1
Under 6 months,Korea (North),Grant,2014 Q3,1
Under 6 months,Kosovo,Grant,2014 Q3,1
Under 6 months,Kuwait,Grant,2014 Q3,3
Under 6 months,Lebanon,Grant,2014 Q3,1
Under 6 months,Libya,Grant,2014 Q3,4
Under 6 months,Malawi,Grant,2014 Q3,1
Under 6 months,Malaysia,Grant,2014 Q3,2
Under 6 months,Morocco,Grant,2014 Q3,3
Under 6 months,Nigeria,Grant,2014 Q3,36
Under 6 months,Occupied Palestinian Territories,Grant,2014 Q3,2
Under 6 months,Pakistan,Grant,2014 Q3,73
Under 6 months,Qatar,Grant,2014 Q3,1
Under 6 months,Refugee,Grant,2014 Q3,31
Under 6 months,Russia,Grant,2014 Q3,1
Under 6 months,Sierra Leone,Grant,2014 Q3,2
Under 6 months,Somalia,Grant,2014 Q3,13
Under 6 months,South Africa,Grant,2014 Q3,2
Under 6 months,Sri Lanka,Grant,2014 Q3,14
Under 6 months,St. Vincent and the Grenadines,Grant,2014 Q3,1
Under 6 months,Stateless,Grant,2014 Q3,7
Under 6 months,Sudan,Grant,2014 Q3,159
Under 6 months,Sudan (South),Grant,2014 Q3,1
Under 6 months,Swaziland,Grant,2014 Q3,2
Under 6 months,Syria,Grant,2014 Q3,251
Under 6 months,Tanzania,Grant,2014 Q3,1
Under 6 months,Tunisia,Grant,2014 Q3,1
Under 6 months,Turkey,Grant,2014 Q3,5
Under 6 months,Turkmenistan,Grant,2014 Q3,1
Under 6 months,Uganda,Grant,2014 Q3,24
Under 6 months,Venezuela,Grant,2014 Q3,1
Under 6 months,Vietnam,Grant,2014 Q3,10
Under 6 months,Zambia,Grant,2014 Q3,1
Under 6 months,Zimbabwe,Grant,2014 Q3,10
Under 6 months,Afghanistan,Grant,2014 Q4,93
Under 6 months,Albania,Grant,2014 Q4,64
Under 6 months,Algeria,Grant,2014 Q4,4
Under 6 months,Angola,Grant,2014 Q4,2
Under 6 months,Armenia,Grant,2014 Q4,1
Under 6 months,Australia,Grant,2014 Q4,1
Under 6 months,Azerbaijan,Grant,2014 Q4,1
Under 6 months,Bangladesh,Grant,2014 Q4,17
Under 6 months,Belarus,Grant,2014 Q4,4
Under 6 months,Bhutan,Grant,2014 Q4,1
Under 6 months,Burma,Grant,2014 Q4,12
Under 6 months,Cameroon,Grant,2014 Q4,9
Under 6 months,Chad,Grant,2014 Q4,2
Under 6 months,China,Grant,2014 Q4,10
Under 6 months,Congo,Grant,2014 Q4,1
Under 6 months,Congo (Democratic Republic),Grant,2014 Q4,15
Under 6 months,Egypt,Grant,2014 Q4,14
Under 6 months,Eritrea,Grant,2014 Q4,890
Under 6 months,Ethiopia,Grant,2014 Q4,28
Under 6 months,"Gambia, The",Grant,2014 Q4,15
Under 6 months,Ghana,Grant,2014 Q4,2
Under 6 months,Guinea,Grant,2014 Q4,1
Under 6 months,India,Grant,2014 Q4,3
Under 6 months,Iran,Grant,2014 Q4,246
Under 6 months,Iraq,Grant,2014 Q4,33
Under 6 months,Jamaica,Grant,2014 Q4,1
Under 6 months,Kuwait,Grant,2014 Q4,4
Under 6 months,Lebanon,Grant,2014 Q4,1
Under 6 months,Libya,Grant,2014 Q4,13
Under 6 months,Malawi,Grant,2014 Q4,3
Under 6 months,Malaysia,Grant,2014 Q4,3
Under 6 months,Morocco,Grant,2014 Q4,1
Under 6 months,Nigeria,Grant,2014 Q4,21
Under 6 months,Occupied Palestinian Territories,Grant,2014 Q4,13
Under 6 months,Oman,Grant,2014 Q4,2
Under 6 months,Other and unknown,Grant,2014 Q4,1
Under 6 months,Pakistan,Grant,2014 Q4,104
Under 6 months,Philippines,Grant,2014 Q4,1
Under 6 months,Refugee,Grant,2014 Q4,27
Under 6 months,Russia,Grant,2014 Q4,1
Under 6 months,Rwanda,Grant,2014 Q4,3
Under 6 months,Saudi Arabia,Grant,2014 Q4,2
Under 6 months,Sierra Leone,Grant,2014 Q4,3
Under 6 months,Somalia,Grant,2014 Q4,30
Under 6 months,South Africa,Grant,2014 Q4,2
Under 6 months,Sri Lanka,Grant,2014 Q4,17
Under 6 months,Stateless,Grant,2014 Q4,15
Under 6 months,Sudan,Grant,2014 Q4,297
Under 6 months,Sudan (South),Grant,2014 Q4,1
Under 6 months,Swaziland,Grant,2014 Q4,1
Under 6 months,Syria,Grant,2014 Q4,356
Under 6 months,Tanzania,Grant,2014 Q4,3
Under 6 months,Thailand,Grant,2014 Q4,1
Under 6 months,Turkey,Grant,2014 Q4,18
Under 6 months,Uganda,Grant,2014 Q4,22
Under 6 months,Ukraine,Grant,2014 Q4,2
Under 6 months,Vietnam,Grant,2014 Q4,17
Under 6 months,Yemen,Grant,2014 Q4,2
Under 6 months,Zambia,Grant,2014 Q4,2
Under 6 months,Zimbabwe,Grant,2014 Q4,10
Under 6 months,Afghanistan,Grant,2015 Q1,71
Under 6 months,Albania,Grant,2015 Q1,31
Under 6 months,Algeria,Grant,2015 Q1,2
Under 6 months,Bangladesh,Grant,2015 Q1,10
Under 6 months,Belarus,Grant,2015 Q1,1
Under 6 months,Bhutan,Grant,2015 Q1,1
Under 6 months,Burma,Grant,2015 Q1,5
Under 6 months,Cameroon,Grant,2015 Q1,5
Under 6 months,Chad,Grant,2015 Q1,1
Under 6 months,China,Grant,2015 Q1,7
Under 6 months,Congo (Democratic Republic),Grant,2015 Q1,7
Under 6 months,Egypt,Grant,2015 Q1,6
Under 6 months,Eritrea,Grant,2015 Q1,346
Under 6 months,Ethiopia,Grant,2015 Q1,16
Under 6 months,"Gambia, The",Grant,2015 Q1,4
Under 6 months,Ghana,Grant,2015 Q1,1
Under 6 months,Guinea,Grant,2015 Q1,1
Under 6 months,India,Grant,2015 Q1,1
Under 6 months,Iran,Grant,2015 Q1,155
Under 6 months,Iraq,Grant,2015 Q1,20
Under 6 months,Ivory Coast,Grant,2015 Q1,1
Under 6 months,Jamaica,Grant,2015 Q1,2
Under 6 months,Jordan,Grant,2015 Q1,1
Under 6 months,Kazakhstan,Grant,2015 Q1,1
Under 6 months,Kuwait,Grant,2015 Q1,1
Under 6 months,Lebanon,Grant,2015 Q1,1
Under 6 months,Libya,Grant,2015 Q1,10
Under 6 months,Malawi,Grant,2015 Q1,1
Under 6 months,Malaysia,Grant,2015 Q1,2
Under 6 months,Morocco,Grant,2015 Q1,1
Under 6 months,Nigeria,Grant,2015 Q1,15
Under 6 months,Occupied Palestinian Territories,Grant,2015 Q1,3
Under 6 months,Pakistan,Grant,2015 Q1,81
Under 6 months,Refugee,Grant,2015 Q1,35
Under 6 months,Somalia,Grant,2015 Q1,20
Under 6 months,Sri Lanka,Grant,2015 Q1,12
Under 6 months,St. Lucia,Grant,2015 Q1,1
Under 6 months,Stateless,Grant,2015 Q1,4
Under 6 months,Sudan,Grant,2015 Q1,206
Under 6 months,Swaziland,Grant,2015 Q1,5
Under 6 months,Syria,Grant,2015 Q1,194
Under 6 months,Tanzania,Grant,2015 Q1,2
Under 6 months,Thailand,Grant,2015 Q1,1
Under 6 months,Turkey,Grant,2015 Q1,8
Under 6 months,Uganda,Grant,2015 Q1,14
Under 6 months,Ukraine,Grant,2015 Q1,1
Under 6 months,Vietnam,Grant,2015 Q1,7
Under 6 months,Yemen,Grant,2015 Q1,2
Under 6 months,Zimbabwe,Grant,2015 Q1,5
